iter	Passed	Remaining
644	27937	15376
645	27967	15325
646	28003	15278
647	28035	15229
648	28068	15180
649	28102	15132
650	28131	15081
651	28182	15042
652	28212	14991
653	28242	14941
654	28283	14897
655	28318	14849
656	28347	14799
657	28383	14752
658	28415	14703
659	28453	14657
660	28487	14609
661	28587	14596
662	28624	14549
663	28662	14504
664	28698	14457
665	28731	14408
666	28766	14361
667	28802	14315
668	28838	14268
669	28870	14219
670	28970	14204
671	29012	14160
672	29043	14111
673	29079	14065
674	29110	14016
675	29145	13968
676	29201	13932
677	29239	13886
678	29292	13847
679	29328	13801
680	29363	13754
681	29402	13709
682	29437	13662
683	29464	13612
684	29495	13563
685	29530	13516
686	29575	13474
687	29615	13430
688	29647	13382
689	29683	13335
690	29728	13294
691	29783	13256
692	29835	13217
693	29885	13177
694	29932	13135
695	29987	13097
696	30046	13061
697	30092	13019
698	30139	12978
699	30186	12937
700	30222	12890
701	30264	12847
702	30311	12806
703	30354	12762
704	30389	12716
705	30441	12676
706	30517	12647
707	30590	12616
708	30656	12582
709	30708	12542
710	30744	12496
711	30777	12449
712	30824	12407
713	30877	12368
714	30921	12325
715	30960	12280
716	30993	12232
717	31027	12186
718	31063	12140
719	31094	12092
720	31122	12043
721	31165	11999
722	31202	11954
723	31243	11910
724	31275	11863
725	31309	11816
726	31339	11768
727	31370	11720
728	31403	11673
729	31437	11627
730	31468	11580
731	31497	11531
732	31531	11485
733	31563	11438
734	31598	11392
735	31627	11344
736	31662	11298
737	31696	11252
738	31735	11208
739	31773	11163
740	31811	11118
741	31846	11073
742	31893	11031
743	31928	10986
744	31968	10942
745	32018	10901
746	32051	10855
747	32084	10809
748	32122	10764
749	32157	10719
750	32214	10681
751	32251	10636
752	32303	10596
753	32341	10551
754	32380	10507
755	32416	10462
756	32474	10424
757	32515	10381
758	32562	10339
759	32607	10296
760	32647	10253
761	32686	10209
762	32720	10163
763	32755	10118
764	32787	10072
765	32823	10026
766	32859	9982
767	32893	9936
768	32930	9891
769	32968	9847
770	33006	9803
771	33060	9764
772	33088	9716
773	33125	9672
774	33156	9625
775	33185	9579
776	33249	9542
777	33331	9511
778	33371	9467
779	33413	9424
780	33543	9406
781	33611	9370
782	33703	9340
783	33737	9294
784	33774	9250
785	33808	9204
786	33843	9159
787	33879	9114
788	33911	9068
789	33950	9024
790	33988	8980
791	34018	8934
792	34061	8891
793	34099	8846
794	34136	8802
795	34170	8757
796	34223	8716
797	34259	8672
798	34313	8632
799	34367	8591
800	34430	8553
801	34464	8508
802	34501	8464
803	34539	8420
804	34577	8375
805	34612	8331
